299.209, 129.710, 5.882,  6.458 False
299.013, 129.722, 5.916,  6.491 False
298.815, 129.735, 5.950,  6.524 False
298.616, 129.748, 5.984,  6.557 False
298.416, 129.761, 6.018,  6.590 False
298.215, 129.774, 6.050,  6.623 False
298.013, 129.787, 6.084,  6.656 False
297.810, 129.801, 6.116,  6.689 False
297.606, 129.816, 6.148,  6.722 False
297.401, 129.830, 6.180,  6.755 False
297.195, 129.844, 6.213,  6.788 False
296.987, 129.859, 6.244,  6.821 False
296.779, 129.873, 6.276,  6.854 False
296.569, 129.888, 6.307,  6.887 False
296.359, 129.903, 6.339,  6.920 False
296.147, 129.918, 6.369,  6.953 False
295.935, 129.933, 6.401,  6.986 False
295.721, 129.948, 6.431,  7.019 False
295.507, 129.963, 6.462,  7.052 False
295.291, 129.978, 6.492,  7.085 False
295.074, 129.994, 6.523,  7.118 False
294.857, 130.010, 6.553,  7.151 False
294.638, 130.025, 6.584,  7.184 False
294.419, 130.041, 6.614,  7.217 False
294.198, 130.057, 6.644,  7.250 False
293.976, 130.073, 6.674,  7.283 False
293.754, 130.089, 6.705,  7.316 False
293.530, 130.105, 6.734,  7.349 False
293.305, 130.121, 6.765,  7.382 False
293.080, 130.137, 6.794,  7.415 False
292.853, 130.154, 6.825,  7.448 False
292.625, 130.170, 6.854,  7.481 False
292.397, 130.187, 6.884,  7.514 False
292.167, 130.203, 6.912,  7.547 False
291.937, 130.220, 6.941,  7.580 False
291.705, 130.236, 6.969,  7.613 False
291.473, 130.253, 6.998,  7.646 False
291.239, 130.270, 7.026,  7.679 False
291.005, 130.286, 7.055,  7.712 False
290.770, 130.303, 7.083,  7.745 False
290.534, 130.320, 7.112,  7.778 False
290.297, 130.337, 7.140,  7.811 False
290.058, 130.353, 7.169,  7.844 False
289.819, 130.370, 7.197,  7.877 False
289.579, 130.387, 7.227,  7.910 False
289.338, 130.404, 7.255,  7.943 False
289.096, 130.420, 7.284,  7.976 False
288.853, 130.437, 7.312,  8.009 False
288.609, 130.454, 7.341,  8.042 False
288.365, 130.471, 7.368,  8.075 False
288.119, 130.487, 7.397,  8.108 False
287.872, 130.504, 7.425,  8.141 False
287.625, 130.521, 7.454,  8.174 False
287.376, 130.537, 7.482,  8.207 False
287.126, 130.554, 7.512,  8.240 False
286.876, 130.570, 7.540,  8.273 False
286.624, 130.586, 7.569,  8.306 False
286.372, 130.602, 7.597,  8.339 False
286.118, 130.619, 7.627,  8.372 False
285.864, 130.635, 7.655,  8.405 False
285.609, 130.651, 7.684,  8.438 False
285.352, 130.667, 7.712,  8.471 False
285.095, 130.683, 7.741,  8.504 False
284.837, 130.699, 7.769,  8.537 False
284.577, 130.713, 7.797,  8.570 False
284.317, 130.727, 7.824,  8.603 False
284.056, 130.739, 7.853,  8.636 False
283.794, 130.751, 7.881,  8.669 False
283.531, 130.762, 7.911,  8.702 False
283.266, 130.773, 7.940,  8.735 False
283.001, 130.783, 7.970,  8.768 False
282.735, 130.792, 7.998,  8.801 False
282.468, 130.801, 8.028,  8.834 False
282.200, 130.809, 8.055,  8.867 False
281.930, 130.816, 8.085,  8.900 False
281.660, 130.822, 8.113,  8.933 False
281.389, 130.826, 8.140,  8.966 False
281.117, 130.828, 8.167,  8.999 False
280.844, 130.831, 8.198,  9.032 False
280.570, 130.835, 8.225,  9.065 False
280.296, 130.838, 8.246,  9.098 False
280.020, 130.840, 8.264,  9.131 False
279.745, 130.841, 8.278,  9.164 False
279.469, 130.842, 8.289,  9.197 False
279.192, 130.843, 8.299,  9.230 False
278.916, 130.842, 8.306,  9.263 False
278.639, 130.842, 8.313,  9.296 False
278.362, 130.841, 8.319,  9.329 False
278.084, 130.840, 8.324,  9.362 False
277.807, 130.839, 8.328,  9.395 False
277.529, 130.837, 8.331,  9.428 False
277.252, 130.835, 8.334,  9.461 False
276.974, 130.833, 8.336,  9.494 False
276.696, 130.831, 8.339,  9.527 False
